Rank,Address,Label,Current Balance,Total Received,Total Sent,Transactions,First Seen,Last Seen,Status,Accessibility,Type,Vulnerability
98,1NB3ZXxs3vfq1hRhuSAZ3zPdQNrXBQB6ZX,,2100.00 BTC,2100.00 BTC,0.00 BTC,34.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
99,13DyBwhpDw6152q1drbK2US5S3CdY1mRnU,,2100.00 BTC,2100.00 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
100,16Q5zhKCMbpEkR43K6tgzdkh1mTUfi7SMy,,2100.00 BTC,2100.00 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
20,324rP14bzX8kW1JWt1J8ohZjDFyt2G68Kq,,6999.99 BTC,6999.99 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-12-20,Dormant,Unspent/Lost Keys?,P2SH (3...),
101,13ACvVSUKeQ57zBtENsJtHManPTJ5sZuRw,,2100.00 BTC,2100.00 BTC,0.00 BTC,33.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
102,1MEKbMf7hPw2scP468unqAXjedZWMM4La4,,2096.70 BTC,2096.70 BTC,0.00 BTC,30.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
103,142fFLWkLgteEB48wC6tcChK5dXkptbjn6,wallet: 20447230,2068.16 BTC,2068.16 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-10-28,Spent/Active,Likely Known/Exchange,Legacy (1...),
104,1CkdZXJtpbxxX4QAzbRhiFNU3PkcsUsFzw,,2066.20 BTC,2066.20 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
105,1CU33fX35WYJDNxXM5jqawQtVGr32QEGrV,,2050.11 BTC,2050.11 BTC,0.00 BTC,33.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
106,1BMB272EM8F9RXaFszJ7nxxN8VNjoa3mYu,,2011.79 BTC,2011.79 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
107,1MTq53R9mvrJomvHoq8i4uyLv26mWHhNPc,,2001.33 BTC,2001.33 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
108,13dSnmhFeX3qqbsi4thXXad4ggTh6VCESG,,2000.01 BTC,2000.01 BTC,0.00 BTC,34.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
109,16w8WZ8Ub1Whk6SP4cw4op5cgyRVsb77T8,,2000.00 BTC,2000.00 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
110,16y2tVCgnwGM6c3kPPuQDJrSadQqcddUm6,,2000.00 BTC,2000.00 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
111,18KHS8ndbKJ1iEtTxv44Ree3Fs7oCURg83,,2000.00 BTC,2000.00 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
112,1KF8CrJXpAf8EB63a91EHaH1TobnDsRgaK,,2000.00 BTC,2000.00 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
113,1NTva3cWy3Xiueh5GPWCa9cz8SePrv6cmT,,2000.00 BTC,2000.00 BTC,0.00 BTC,41.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
114,13RwLs69Y7xPrTM5E2aa9RxiDSyeX6jEyw,,2000.00 BTC,2000.00 BTC,0.00 BTC,29.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
115,1KxQJau7BkuwHZh7Ugo2yoqKN9WeS51S5C,,2000.00 BTC,2000.00 BTC,0.00 BTC,30.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
116,1AsgPtK6qG5M8bHxcgeVzot12gfKnUnPW9,,2000.00 BTC,2000.00 BTC,0.00 BTC,25.0,2017-08-05,2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
117,1CqMbvPpLS8mWerAHiJSS9yasZaQ9bEsZf,,2000.00 BTC,2000.00 BTC,0.00 BTC,25.0,2018-04-25,2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
118,16maYEFESxYegRrDrm8AzmhYtGdHwHnvnx,,2000.00 BTC,2000.00 BTC,0.00 BTC,26.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
119,12KkxkrPeSR9H1SnbKT2UPepLgarz3tGHp,,1985.68 BTC,1985.68 BTC,0.00 BTC,30.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
